'ModifiedCartan.coefficient_sphere_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.continuous_combination_diskSupNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.unit_coefficients_have_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskSupNorm_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskSupNorm_const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.coefficientNormSq_single' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.coefficientNormSq_const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.coefficientNormSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombination_values_bddBelow' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_le_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_le_unnormalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.leastCombinationNorm_initial_subfamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.equicontinuous_compact_range_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.locallyBounded_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.locallyBounded_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.locallyBounded_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.locallyBounded_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_zero_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_subsequence_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.unitFamily_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.zeroSum_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
